video_id,title,description,published_at,duration,definition,dimension,caption,licensedContent,view_count,like_count,dislike_count,comment_count,privacy_status
CxYm3cuT0Ws,"Frostbite Glam for winter❄️ Icy lids, glossy lips, rosy cheeks! #hudabeauty #FaceGloss #icynude",,2024-11-12T12:00:11Z,PT59S,hd,2d,false,False,30265,1844,0,18,public
JanWMbnWWfQ,Gloss that speaks for itself! In She Flirty Lip Gloss💄✨ #hudabeauty #gloss #icynude #howto,,2024-11-11T09:53:49Z,PT14S,hd,2d,false,False,28393,1212,0,26,public
7MalAXllZIM,Our Icy Nude pH Face Gloss in FROSTBITE is selling fast! Swirl for a limited edition pink glow!✨,,2024-11-05T12:25:06Z,PT27S,hd,2d,false,False,23346,920,0,23,public
FcpO_Qc9mXs,ICY GLAM in 3 shades ❄️✨ #Icyeyes #hudabeauty #tutorial #howto,,2024-11-04T12:33:01Z,PT1M1S,hd,2d,false,False,20563,1275,0,19,public
uU77YQjYy28,Our new coolest gloss! Icy Nude PH Face Gloss in FROSTBITE! ❄️✨ #hudabeauty #icynude #howto,,2024-11-02T11:01:07Z,PT40S,hd,2d,false,False,31724,1670,0,38,public
TvEvIg6PjyA,Happy Diwali 🪔 #hudabeauty #grwm #diwali,,2024-11-01T16:53:13Z,PT40S,hd,2d,false,False,80320,4788,0,71,public
JPQ0LgnZVOA,ICY NUDE IS HERE👀❄️ Who’s ready to try this look? #hudabeauty #IcyEyes #icynude #howto,,2024-10-30T13:02:04Z,PT58S,hd,2d,false,False,22923,1507,0,27,public
ovV9x0RQqQc,Icy glam❄️✨ with our new Icy Nude Collention! #hudabeauty #icynude #IcyEyes,,2024-10-29T13:02:33Z,PT1M1S,hd,2d,false,False,15683,1087,0,18,public
4RvseGV1Rss,Get the perfect #ICYLIP look! 💄✨ #hudabeauty #icynude #liptutorial #howto,,2024-10-24T12:00:10Z,PT12S,hd,2d,false,False,27480,1273,0,17,public
2xgdnzs906s,#IcyEyes #icynude #hudabeauty,,2024-10-23T12:40:30Z,PT12S,hd,2d,false,False,24312,1188,0,30,public
IKspgwggY3w,#hudabeauty #makeup #howto,,2024-10-22T12:13:17Z,PT31S,hd,2d,false,False,28310,1331,0,33,public
tfCoUKfDv2o,Full track dropping soon. Stay tuned! #IcyEyes #IcyNude #hudabeauty,,2024-10-21T06:51:41Z,PT20S,hd,2d,false,False,15485,887,0,28,public
KuukifhSsEY,#hudabeauty #grwm #tutorial #howto,,2024-10-17T12:00:21Z,PT33S,hd,2d,false,False,71455,3110,0,44,public
NVhJRYsvZfk,Which one’s hittin diff?😎💄 #hudabeauty #lipgloss #liptutorial #howto,,2024-10-16T12:00:32Z,PT34S,hd,2d,false,False,23047,1311,0,19,public
uLPsyRi64gA,#hudabeauty #easyblur #grwmroutine #howto,,2024-10-10T12:00:57Z,PT12S,hd,2d,false,False,34657,1526,0,32,public
Mi0bR6Hc00M,Our Docuseries episode #2 is out now!🙌 #hudabeauty #rebranding #hudabeautyeasybake,,2024-10-09T12:00:22Z,PT56S,hd,2d,false,False,17700,962,0,18,public
Kr-Fh9upbgk,THE BIG REVEAL: OUR NEW HUDA BEAUTY UNIVERSE,"Hey my loves!! 💖 OMG, I can’t believe we’re already dropping episode TWO of our docuseries!! This is the first time we’re revealing the NEW Huda Beauty universe, and that includes our brand-new gondola at Sephora Dubai Mall – AHHHH!!! 😱 Rebranding Huda Beauty after 11 years was SO hard and challenging, but it was something we just had to do – change is NEVER easy, but it was time!

I want to thank you all for sticking with us through everything – you're all sooo amazing, and I’m so excited to hear what you think of the NEW HB!! I hope you love it as much as I do! 💖
الترجمة العربية متوفرة
LET’S BECOME FAMILY!
Instagram: http://instagram.com/hudabeauty
TikTok: https://www.tiktok.com/@hudabeauty
Snapchat: HudaBeauty 
Facebook: http://facebook.com/hudabeauty 
X: https://twitter.com/hudabeauty

#hudabeauty #docuseries",2024-10-08T17:00:08Z,PT10M28S,hd,2d,true,False,1433435,18381,0,277,public
Y_0j_vuKV7Y,We did it! Our concealer is an award winner!💖 #hudabeauty #allurebestofbeauty #makeup,,2024-10-08T12:50:53Z,PT39S,hd,2d,false,False,39189,2126,0,64,public
soj5M8z9-gc,Eyeshadow tutorial! #hudabeauty #tutorial #makeup #howto,,2024-10-07T12:51:39Z,PT28S,hd,2d,false,False,21075,1109,0,12,public
NFi-cSgPkos,"It’s all about real results. No photoshop, just proof! #hudabeauty #nophotoshop #realbeauty",,2024-10-02T12:00:34Z,PT1M1S,hd,2d,false,False,32306,1980,0,33,public
OVie7Z1wr3o,Who else sees a jewelry box in this stunning PR kit?! ✨ #hudabeauty #easyblur #asmr #prkit #jewelry,,2024-09-26T12:00:33Z,PT35S,hd,2d,false,False,19475,924,0,26,public
Vxrn4sHRAgc,We did it! 🙌 HB X KB @kaybykatrina #beautybesties #hudabeauty #KaybyKatrina #beautymode,,2024-09-25T12:00:39Z,PT59S,hd,2d,false,False,82045,4590,0,35,public
qsphWwIqclU,Had an amazing time with you@kaybykatrina 💖 #hudabeauty #KayByKatrina #beautymode,,2024-09-24T12:01:04Z,PT8S,hd,2d,false,False,35862,1460,0,21,public
VLBYbz3l_6c,GRWM for our Easy Blur event in Milan! 🇮🇹💖 #hudabeauty #easyblur #grwm,,2024-09-16T12:00:29Z,PT46S,hd,2d,false,False,32920,1558,0,24,public
AfG7uz52ePQ,Thanks for the love gorgeous! 💖@christxiee #hudabeauty #easyroutine #easyblur #makeup,,2024-09-09T12:00:09Z,PT43S,hd,2d,false,False,37215,2171,0,27,public
HViyPkzzYQQ,This routine gives me a REAL LIFE FILTER effects! #hudabeauty #easyblur #easyroutine #makeup,,2024-09-05T12:00:15Z,PT58S,hd,2d,false,False,133365,5839,0,40,public
XhkS5vBSiIM,Easy Blur in NYC Times Square! Unreal!🤩 #hudabeauty #easyblur #easyroutine #makeup,,2024-09-04T12:06:42Z,PT37S,hd,2d,false,False,29172,1878,0,35,public
ATT4xOvsGNw,WHY I STOPPED USING FILTERS: MY FULL COMPLEXION ROUTINE! #hudabeauty #easyblur #howto,,2024-09-03T06:04:32Z,PT34S,hd,2d,false,False,31264,1611,0,20,public
Ps-HlfBVfuU,HOW TO MASTER YOUR COMPLEXION ROUTINE!,"F**K FILTERS…  Seriously, this complexion routine will give you that filter-like finish that lasts ALL. DAY. LONG!
الترجمة العربية متوفرة
 
Hey, beautiful people!
I have been getting quite a few requests asking me for my FULL complexion routine so I had to film it for you all. I’m about to spill EVERYTHING!!
 
Over the last 14 years, I've picked up tons of beauty secrets as a blogger, editor, and makeup artist, but above all, as a beauty lover!! I’ve learned from the world's top artists, and trust me, after a lot of trial and error, I've found the MOST foolproof complexion routine ever. From how to prep your skin to the best makeup tools to blend your makeup like a pro. Boo, I've got you covered.
 
P.S. – I’ve added a wear test at the end of the video so you can see just how flawless this complexion routine looks, after all day wear… in Dubai's heat (and yes, it’s REALLY hot here)!

Here are the products I used:
✨ Yo Glow AHA & BHA Facial Enzyme Scrub: https://hudabeauty.com/default/wishful/yo-glow-enzyme-scrub-40ml-WF00002.html
✨ WISHFUL Honey Whip Peptide Moisturizer
✨ Easy Blur Silicone-Free Smoothing Primer: https://hudabeauty.com/default/primer/easy-blur-silicone-free-smoothing-primer-HB01342.html
✨ Easy Blur Foundation: https://hudabeauty.com/default/foundation/easy-blur-foundation-macchiato-400g-HB01166.html
✨ Easy Blur Base Brush: https://hudabeauty.com/default/brushes/easy-blur-foundation-brush-HB01362.html
✨ #FAUXFILTER Color Corrector in Cherry Blossom: https://hudabeauty.com/default/huda-beauty/fauxfilter-color-corrector-HB01025.html
✨ #FAUXFILTER Concealer in Sugar Biscuit: https://hudabeauty.com/default/ff-collection/fauxfilter-luminous-matte-concealer-HB00867.html
✨ Blush Filter Liquid Blush in Cotton Candy and Strawberry Cream: https://hudabeauty.com/default/blush/blush-filter-liquid-blush-HB01345.html
✨ Easy Bake Loose Baking & Setting Powder: https://hudabeauty.com/default/powder-and-setting-spray/easy-bake-loose-baking-and-setting-powder-HB00142.html

Love you all so much! Hope you enjoy this video. Let me know what you want to see next.

LET’S BECOME FAMILY!
Instagram: http://instagram.com/hudabeauty
TikTok: https://www.tiktok.com/@hudabeauty
Snapchat: HudaBeauty 
Facebook: http://facebook.com/hudabeauty 
X: https://twitter.com/hudabeauty

#howto #hudabeauty #easyblur #hudakattan #easyroutine #makeuptutorial #complexion #hacks",2024-09-02T16:51:04Z,PT16M11S,hd,2d,true,False,3574859,57244,0,395,public
vXARMO38RFA,Yesss! @OmayaZein #hudabeauty #makeup #shorts,,2024-09-02T12:01:04Z,PT8S,hd,2d,false,False,23789,794,0,18,public
OFYiQ1RODSQ,"Get ready to blur! Easy Blur Foundation is almost here! Sept. 1 on @Sephora, Sept. 2 in stores.",,2024-08-29T16:07:39Z,PT31S,hd,2d,false,False,23092,1011,0,17,public
iuLcHRkP3jo,😅 #arabic #iraqi #shorts,,2024-08-28T12:18:48Z,PT33S,hd,2d,false,False,17640,814,0,23,public
d0h4zNyrSHM,She’s absolutely gorgeous!@mangomoniica #hudabeauty #makeup   #howto,,2024-08-27T11:47:02Z,PT9S,hd,2d,false,False,27824,1071,0,11,public
qJw0xiEFSz4,#hudabeauty #easyblur #primer #asmr #shorts,,2024-08-26T11:41:20Z,PT18S,hd,2d,false,False,44665,1181,0,12,public
z5fdQHmITi4,3 STEP COMPLEXION ROUTINE! #hudabeauty #makeup #howto,,2024-08-22T11:01:06Z,PT38S,hd,2d,false,False,53852,1862,0,27,public
YBDTp-QkWVQ,Love you gorgeous💖 @mangomoniica #hudabeauty #filters #makeup,,2024-08-21T11:00:37Z,PT7S,hd,2d,false,False,27137,579,0,9,public
zthk2RpWV1c,Loved every moment with you! @Daus_Mendoza #hudabeauty #demure #makeup,,2024-08-20T11:01:05Z,PT9S,hd,2d,false,False,20710,616,0,20,public
GkMpWQgSLZQ,Glam for our Easy Blur Event in NYC ✨ #hudabeauty #grwmroutine #howto,,2024-08-19T11:00:27Z,PT1M,hd,2d,false,False,55415,2899,0,29,public
cnJ49rLjH7Y,SHOP IT EARLY ON THE @Sephora APP ON SEPT 1… Available worldwide online and in-stores on Sept 2,,2024-08-16T13:02:10Z,PT9S,hd,2d,false,False,28128,1086,0,22,public
jMJsi6mhbyA,OBSESSED with @Kayali 🥰 #hudabeauty #kayali #influencerbelike,,2024-08-15T11:00:44Z,PT28S,hd,2d,false,False,21009,875,0,14,public
pXqyhFrp6gY,Our new babies EASY BLUR FOUNDATION & EASY BLUR PRIMER! Available exclusively on @Sephora on Sep 1,,2024-08-14T07:56:38Z,PT49S,hd,2d,false,False,24410,1388,0,16,public
z3MHT6r_hgE,MY BEST-KEPT COMPLEXION SECRET: THE EASY ROUTINE,"Hey beautiful people!! 💖 I’m fiiiinally revealing our BEST-kept secret…and I am so happy to share, our EASY family is GROWING! 🌟
الترجمة العربية متوفرة
 
Meet our newest babies…. EASY BLUR PRIMER and EASY BLUR FOUNDATION!!!
Created to be used with our Best-Selling EASY BAKE, we wanted to give you the most beautiful no-filter-needed-ultra-blurred effect!
 
The three of these products together make up our new EASY ROUTINE!! Prime + Blur + Bake = The most blurred skin ever!!!
 
When I stopped using Filters in 2021, I had NO idea it was going to change how we make products, but now I am SOOOO happy we made that commitment bc I literally feel these products and the new EASY ROUTINE will give you SO much confidence and make you feel your absolute BEST, which I hope you feel every day!!!
 
I can’t wait for you guys to try the EASY ROUTINE… who knew complexion could be as easy as 1, 2, 3? 

🚀 𝗦𝗛𝗢𝗣 𝗜𝗧 𝗘𝗔𝗥𝗟𝗬 𝗢𝗡 𝗧𝗛𝗘 @𝗦𝗘𝗣𝗛𝗢𝗥𝗔 𝗔𝗣𝗣 𝗢𝗡 𝗦𝗘𝗣𝗧 𝟭!
🚀 Available worldwide online and in-stores on Sept 2
 
Here are the products I used: 

🌟 EASY BLUR Foundation: https://hudabeauty.com/default/foundation/easy-blur-foundation-macchiato-400g-HB01166.html
🌟 EASY BLUR Primer: https://hudabeauty.com/default/primer/easy-blur-silicone-free-smoothing-primer-HB01342.html
🌟 Easy Bake Loose Baking & Setting Powder: https://hudabeauty.com/default/powder-and-setting-spray/easy-bake-loose-powder-banana-bread-HB00142.html
🌟 #FAUXFILTER Color Corrector: https://hudabeauty.com/default/huda-beauty/fauxfilter-color-corrector-mango-HB01025.html
🌟 #FauxFilter Luminous Matte Concealer: https://hudabeauty.com/default/ff-collection/faux-filter-concealer-graham-cracker-4.1-HB00867.html 


LET’S BECOME FAMILY!
Instagram: http://instagram.com/hudabeauty
TikTok: https://www.tiktok.com/@hudabeauty
Snapchat: HudaBeauty 
Facebook: http://facebook.com/hudabeauty 
X: https://twitter.com/hudabeauty",2024-08-13T17:01:15Z,PT11M10S,hd,2d,true,False,3798321,58338,0,366,public
hz-s5cuigeg,NO FILTER!!! My new 3-step routine…stay tuned! #hudabeauty #makeuproutine #somethingnew,,2024-08-13T11:00:49Z,PT7S,hd,2d,false,False,18932,672,0,10,public
Wjn9ZLb8yw8,"Name dropping today, AUGUST 13, 12 PM EST…. stay tuned! #hudabeauty #somethingnew",,2024-08-13T05:49:03Z,PT20S,hd,2d,false,False,16268,663,0,14,public
LE1NpxJWeyQ,GRWM #hudabeauty #makeuproutine #howto,,2024-08-12T11:00:20Z,PT58S,hd,2d,false,False,19981,1222,0,21,public
JdWSYpdyAfw,She’s gorgeous😍✨ @Pambetrippin ​⁠ #hudabeauty #reaction #makeuphack #howto,,2024-08-08T11:00:17Z,PT42S,hd,2d,false,False,18850,674,0,20,public
P8VS3pi7wT8,#reactions ​@rachelmadisoncarlisle89 #hudabeauty #blush #makeuphacks #howto,,2024-08-07T10:02:37Z,PT1M1S,hd,2d,false,False,20647,574,0,15,public
0ouMtjjCmOY,#hudabeauty #somethingnew #makeup,,2024-08-06T10:17:19Z,PT44S,hd,2d,false,False,13563,692,0,26,public
8TssKasYvoo,Still got time😅#hudabeauty #makeuptransformation #meme #howto,,2024-08-05T10:34:27Z,PT10S,hd,2d,false,False,22081,1040,0,16,public
bKXPlJxPfGg,Can you spot the difference? #hudabeauty #somethingnew #makeup,,2024-08-01T11:51:26Z,PT53S,hd,2d,false,False,25657,1100,0,28,public
dfuZ5ezjTrw,#hudabeauty #liptutorial #makeuptutorial #howto #easybake,,2024-07-31T12:01:52Z,PT47S,hd,2d,false,False,28189,1389,0,36,public
-0XkXKjuljI,#hudabeauty #makeup #somethingnew #howto,,2024-07-30T11:58:33Z,PT25S,hd,2d,false,False,13565,666,0,26,public
yfCviDtzK9A,Yasss! Contour obsession😂 @anggelzz2  @dianatorua #hudabeauty #nosecontour #makeuphacks #howto,,2024-07-29T15:38:29Z,PT7S,hd,2d,false,False,24415,611,0,13,public
7224-3cGfCw,#hudabeauty #easybake #fauxfiltercolorcorrector #howto #makeup,,2024-07-25T09:29:49Z,PT24S,hd,2d,false,False,90362,1928,0,27,public
Wx868OFt3iU,#hudabeauty #beautyhacks #easybake #howto,,2024-07-24T12:04:26Z,PT44S,hd,2d,false,False,14527,845,0,11,public
uHikfBxCCQ4,Perfect for beauty emergencies!✨ @DaniellePhelloung @_AyshaBegum_  #hudabeauty #beautyhack,,2024-07-23T07:27:29Z,PT53S,hd,2d,false,False,23937,1089,0,17,public
GKgqOJ5N_bo,IB: @FROARTISTRY  #hudabeauty #beautyhacks #howto #makeuphacks,,2024-07-22T12:03:52Z,PT48S,hd,2d,false,False,16436,659,0,6,public
iInOr6IV-EA,Applying blush over powder for a long-lasting look!💖✨ #hudabeauty #makeuptips #blushfilter #howto,,2024-07-19T12:24:11Z,PT45S,hd,2d,false,False,23637,1408,0,29,public
MVos5eGlxxM,"3 Step Snatch: Correct, Conceal & Bake!😍#hudabeauty #howto #beautyhack #easybake",,2024-07-17T12:02:58Z,PT52S,hd,2d,false,False,17201,840,0,13,public
K0BxSbgdpvA,My everyday hack for all-day perfection!💄#hudabeauty #liphack #howto  #makeuphack,,2024-07-16T11:25:50Z,PT24S,hd,2d,false,False,57081,2610,0,20,public
Z_5E0JgiukM,V blush using blush filter!✨ #hudabeauty #blushfilter #howto #beautyhack,,2024-07-15T11:54:16Z,PT21S,hd,2d,false,False,60247,2147,0,20,public
JGZApXMvPQ4,Complexion only! Been loving this hack lately 💖✨,,2024-07-11T05:46:34Z,PT1M,hd,2d,false,False,35356,1799,0,63,public
PVMR3ezYrII,HUDA BEAUTY: THE REBRAND #hudabeauty #makeup #beauty,,2024-07-09T21:12:44Z,PT1M1S,hd,2d,false,False,23823,1469,0,23,public
oMSBFJTR2mU,HUDA BEAUTY: THE REBRAND,"Hey beautiful people!! 💖 I am SO excited to share the FIRST episode of our NEW docuseries, giving you a SNEAK PEEK into life inside Huda Beauty during a super special time as we REBRAND Huda Beauty. 
 
It's been such a journey over the past 11 years, but it felt like the right time to refresh the business so it reflects who we are now and where we want to go. It's been hard to say goodbye... but it's time.
 
Of course, during such a momentous moment, we had to take you along this journey with us. We're SO grateful for you all, and we hope you love our rebrand as much as we do. 💕✨
 
Stay tuned for all the raw, real, and emotional moments — from unveiling the new logo to discontinuing products, to shoot days, events, office pranks... Literally we're sharing it ALL!
الترجمة العربية متوفرة
Logo Reveal 05:44 - 07:05
The new Easy Bake Pack 08:39 - 10:46

LET’S BECOME FAMILY!
Instagram: http://instagram.com/hudabeauty
TikTok: https://www.tiktok.com/@hudabeauty
Snapchat: HudaBeauty 
Facebook: http://facebook.com/hudabeauty 
X: https://twitter.com/hudabeauty",2024-07-09T17:55:49Z,PT10M46S,hd,2d,true,False,4304613,57915,0,733,public
